nan_ling	nan_ling.n.01
nanchang	nanchang.n.01
nanjing	nanjing.n.01
nanning	nanning.n.01
pamir_mountains	pamir_mountains.n.01
poyang	poyang.n.01
shanghai	shanghai.n.01
shenyang	shenyang.n.01
szechwan	szechwan.n.01
taiyuan	taiyuan.n.01
taklimakan_desert	taklimakan_desert.n.01
tangshan	tangshan.n.01
tianjin	tianjin.n.01
tien_shan	tien_shan.n.01
pobeda_peak	pobeda_peak.n.01
wuhan	wuhan.n.01
xian	xian.n.01
xinjiang	xinjiang.n.01
yunnan	yunnan.n.01
zhu_jiang	zhu_jiang.n.01
great_rift_valley	great_rift_valley.n.01
india	india.n.01
agra	agra.n.01
andhra_pradesh	andhra_pradesh.n.01
assam	assam.n.01
bangalore	bangalore.n.01
bihar	bihar.n.01
brahmaputra	brahmaputra.n.01
chennai	chennai.n.01
delhi	delhi.n.01
new_delhi	new_delhi.n.01
ganges	ganges.n.01
goa	goa.n.01
gujarat	gujarat.n.01
gujarat	gujarat.n.02
himalayas	himalayas.n.01
annapurna	annapurna.n.02
changtzu	changtzu.n.01
dhaulagiri	dhaulagiri.n.01
everest	everest.n.01
gosainthan	gosainthan.n.01
kamet	kamet.n.01
kanchenjunga	kanchenjunga.n.01
lhotse	lhotse.n.01
makalu	makalu.n.01
nanda_devi	nanda_devi.n.01
nanga_parbat	nanga_parbat.n.01
nuptse	nuptse.n.01
hindustan	hindustan.n.01
hyderabad	hyderabad.n.02
jabalpur	jabalpur.n.01
kamet	kamet.n.01
kanara	kanara.n.01
karnataka	karnataka.n.01
kashmir	kashmir.n.01
karakoram	karakoram.n.01
gasherbrum	gasherbrum.n.01
k2	k2.n.01
rakaposhi	rakaposhi.n.01
line_of_control	line_of_control.n.01
nanga_parbat	nanga_parbat.n.01
kolkata	kolkata.n.01
lucknow	lucknow.n.01
maharashtra	maharashtra.n.01
manipur	manipur.n.01
mumbai	mumbai.n.01
mysore	mysore.n.01
nanda_devi	nanda_devi.n.01
nilgiri_hills	nilgiri_hills.n.01
orissa	orissa.n.01
pobeda_peak	pobeda_peak.n.01
punjab	punjab.n.01
salem	salem.n.03
